id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
635475472809015192,Lovely Bedroom with Ocean Views,7167082,Ahmed,,Outer Richmond,37.77601,-122.50631,Private room,75,30,1,2022-08-14,1,2,66,1,
693863657711129614,Minutes to Moscone Center Entire Central Apartment,472578296,Tania,,Downtown/Civic Center,37.783113051080896,-122.41534800737698,Entire home/apt,100,2,0,,,6,345,0,0198141
694099838649925543,Mint Hill 2 bedroom Mission  Duboce Triangle,303118342,Jesse,,South of Market,37.770760155216536,-122.42240992659143,Entire home/apt,137,30,0,,,21,336,0,
682048072778172493,Inn at the Opera; One Bedroom,52178915,Jim,,Downtown/Civic Center,37.7792371505316,-122.42133933950406,Entire home/apt,158,2,0,,,37,5,0,Exempt
682335645285016842,Beautiful & Charming 1-bedroom guest cottage,472328815,Reema,,Glen Park,37.73864061011774,-122.42965984033222,Entire home/apt,161,30,0,,,1,328,0,
694228828662465945,SOMA apartment with access to sunny roof deck,191647416,Nidhi,,South of Market,37.77157087590425,-122.41393532472812,Private room,72,30,0,,,1,341,0,
694319331676264232,San Francisco Luxury Apartment  Modern Art Museum,474761537,Wenseng,,South of Market,37.783868625740304,-122.39659613474004,Entire home/apt,117,30,0,,,3,330,0,
694585336959561770,2BR Cottage in the Inner Mission,8099417,Paul,,Mission,37.75774097959836,-122.40944314958078,Entire home/apt,159,30,0,,,1,348,0,
694665040485656547,2-bedroom Condo at Mission St.,1257432,San Francisco Life Real Estate,,Mission,37.767422746295914,-122.41902836299047,Entire home/apt,131,30,0,,,31,244,0,
694821766887845547,Welcome To *The Donatello* ST#4,340080088,Bianka,,Downtown/Civic Center,37.78870755516405,-122.40942902939312,Entire home/apt,241,2,0,,,8,74,0,Exempt
635476287823085237,3 Bedroom in Pacific Heights with views of the Bay,102607615,Ashley,,Pacific Heights,37.79499,-122.43188,Entire home/apt,1000,3,2,2022-08-20,0.67,2,5,2,2022-005002STR
682489449707868598,Private quiet bedroom with beautiful view,59344415,Bilal,,Bayview,37.71040770213709,-122.38933231437095,Private room,70,30,1,2022-08-31,1,1,69,1,
682626676273477697,Luxury Masterroom in safest & convenient location,375082226,Yu Chang,,Lakeshore,37.7148802,-122.4745981,Private room,107,30,0,,,4,65,0,
683992700482569138,3-Bedroom Condo in the Marina District,122947774,Majeed,,Marina,37.802490541481006,-122.44518398568034,Entire home/apt,800,2,2,2022-09-05,2,1,321,2,2022-007433STR
635865897984255646,The Donatello Hotel one block from Union Square,77606360,Christine,,Downtown/Civic Center,37.78704,-122.40955,Private room,193,2,0,,,2,6,0,Exempt
694941566213990285,"Big Lux Home w/Beaches, Golden Gate Park & Bridge.",268466,Gabriella And Zach,,Outer Richmond,37.7784707,-122.4858803,Entire home/apt,657,3,0,,,1,299,0,2022-007542STR
684128842053632757,WFH + Free Parking! Fully Equipped Modern 1 Br 1Ba,55297488,Krish,,Downtown/Civic Center,37.7887376,-122.418455,Entire home/apt,178,30,0,,,1,125,0,
695698180437734251,Mint Hill Suite in Mission Duboce Triangle,303118342,Jesse,,Mission,37.769574,-122.423358,Entire home/apt,138,30,0,,,21,365,0,
696256895663507325,Remodeling? Relocating? Temopary Pacific Heights,151399600,Pamela,,Pacific Heights,37.79319000412043,-122.433769378892,Entire home/apt,535,180,0,,,6,365,0,
696661139921226603,Château - Bernal Heights,42701649,Fouzia,,Bayview,37.72802446464091,-122.35848370592089,Entire home/apt,208,30,0,,,2,260,0,
696771843133560829,Walker's Paradise to Most Attractions in SF IV-III,472578296,Tania,,Downtown/Civic Center,37.782280995692254,-122.41363867304787,Entire home/apt,177,1,0,,,6,334,0,0912287
